period_id,date_range,metric,answer,pct,standard_error
38,12/18/2023 - 12/31/2023,current_v1_goods_services,No,84.1,.27
38,12/18/2023 - 12/31/2023,current_v1_goods_services,Yes,4.9,.09
38,12/18/2023 - 12/31/2023,expected_v1_goods_services,Yes,6.7,.11
38,12/18/2023 - 12/31/2023,expected_v1_goods_services,No,70.7,.42
38,12/18/2023 - 12/31/2023,expected_v1_goods_services,Do not know,22.6,.39
39,1/1/2024 - 1/14/2024,current_v1_goods_services,Do not know,10.4,.17
39,1/1/2024 - 1/14/2024,current_v1_goods_services,No,85,.23
39,1/1/2024 - 1/14/2024,current_v1_goods_services,Yes,4.6,.08
39,1/1/2024 - 1/14/2024,expected_v1_goods_services,Yes,6.4,.16
39,1/1/2024 - 1/14/2024,expected_v1_goods_services,No,71.1,.22
39,1/1/2024 - 1/14/2024,expected_v1_goods_services,Do not know,22.5,.24
40,1/15/2024 - 1/28/2024,current_v1_goods_services,Do not know,10.5,.25
40,1/15/2024 - 1/28/2024,current_v1_goods_services,Yes,5.3,.15
40,1/15/2024 - 1/28/2024,current_v1_goods_services,No,84.2,.3
40,1/15/2024 - 1/28/2024,expected_v1_goods_services,No,70.3,.32
40,1/15/2024 - 1/28/2024,expected_v1_goods_services,Yes,6.5,.12
40,1/15/2024 - 1/28/2024,expected_v1_goods_services,Do not know,23.3,.31
41,1/29/2024 - 2/11/2024,current_v1_goods_services,Yes,5,.13
41,1/29/2024 - 2/11/2024,current_v1_goods_services,Do not know,11.2,.23
41,1/29/2024 - 2/11/2024,current_v1_goods_services,No,83.8,.27
41,1/29/2024 - 2/11/2024,expected_v1_goods_services,Yes,6.6,.2
41,1/29/2024 - 2/11/2024,expected_v1_goods_services,Do not know,23.3,.32
41,1/29/2024 - 2/11/2024,expected_v1_goods_services,No,70.1,.33
42,2/12/2024 - 2/25/2024,current_v1_goods_services,No,83.9,.25
42,2/12/2024 - 2/25/2024,current_v1_goods_services,Do not know,10.8,.18
42,2/12/2024 - 2/25/2024,current_v1_goods_services,Yes,5.4,.12
42,2/12/2024 - 2/25/2024,expected_v1_goods_services,Do not know,23.3,.23
42,2/12/2024 - 2/25/2024,expected_v1_goods_services,No,70.1,.26
42,2/12/2024 - 2/25/2024,expected_v1_goods_services,Yes,6.6,.15
43,2/26/2024 - 3/10/2024,current_v1_goods_services,Do not know,7.8,.12
43,2/26/2024 - 3/10/2024,current_v1_goods_services,No,87.9,.2
43,2/26/2024 - 3/10/2024,current_v1_goods_services,Yes,4.3,.13
43,2/26/2024 - 3/10/2024,expected_v1_goods_services,Do not know,21.1,.19
43,2/26/2024 - 3/10/2024,expected_v1_goods_services,Yes,6.4,.12
43,2/26/2024 - 3/10/2024,expected_v1_goods_services,No,72.5,.24
44,3/11/2024 - 3/24/2024,current_v1_goods_services,Do not know,7.7,.19
44,3/11/2024 - 3/24/2024,current_v1_goods_services,No,87.9,.21
44,3/11/2024 - 3/24/2024,current_v1_goods_services,Yes,4.4,.12
44,3/11/2024 - 3/24/2024,expected_v1_goods_services,Do not know,20.9,.35
44,3/11/2024 - 3/24/2024,expected_v1_goods_services,No,72.4,.41
44,3/11/2024 - 3/24/2024,expected_v1_goods_services,Yes,6.7,.14
45,3/25/2024 - 4/7/2024,current_v1_goods_services,Do not know,7.6,.2
45,3/25/2024 - 4/7/2024,current_v1_goods_services,Yes,4.2,.09
45,3/25/2024 - 4/7/2024,current_v1_goods_services,No,88.1,.22
45,3/25/2024 - 4/7/2024,expected_v1_goods_services,No,72.5,.25
45,3/25/2024 - 4/7/2024,expected_v1_goods_services,Do not know,20.8,.22
45,3/25/2024 - 4/7/2024,expected_v1_goods_services,Yes,6.6,.14
46,4/8/2024 - 4/21/2024,current_v1_goods_services,Yes,4.8,.14
46,4/8/2024 - 4/21/2024,current_v1_goods_services,No,87.6,.2
46,4/8/2024 - 4/21/2024,current_v1_goods_services,Do not know,7.5,.13
46,4/8/2024 - 4/21/2024,expected_v1_goods_services,No,72.1,.2
46,4/8/2024 - 4/21/2024,expected_v1_goods_services,Do not know,21,.16
46,4/8/2024 - 4/21/2024,expected_v1_goods_services,Yes,6.8,.18
47,4/22/2024 - 5/5/2024,current_v1_goods_services,Do not know,7.6,.14
47,4/22/2024 - 5/5/2024,current_v1_goods_services,No,87.7,.26
47,4/22/2024 - 5/5/2024,current_v1_goods_services,Yes,4.7,.15
47,4/22/2024 - 5/5/2024,expected_v1_goods_services,Do not know,20.9,.19
47,4/22/2024 - 5/5/2024,expected_v1_goods_services,No,72.1,.26
47,4/22/2024 - 5/5/2024,expected_v1_goods_services,Yes,7,.22
48,5/6/2024 - 5/19/2024,current_v1_goods_services,Yes,4.8,.09
48,5/6/2024 - 5/19/2024,current_v1_goods_services,Do not know,7.6,.19
48,5/6/2024 - 5/19/2024,current_v1_goods_services,No,87.6,.22
48,5/6/2024 - 5/19/2024,expected_v1_goods_services,No,71.6,.3
48,5/6/2024 - 5/19/2024,expected_v1_goods_services,Do not know,21.5,.28
48,5/6/2024 - 5/19/2024,expected_v1_goods_services,Yes,6.9,.14
49,5/20/2024 - 6/2/2024,current_v1_goods_services,Do not know,8,.13
49,5/20/2024 - 6/2/2024,current_v1_goods_services,Yes,4.6,.15
49,5/20/2024 - 6/2/2024,current_v1_goods_services,No,87.4,.13
49,5/20/2024 - 6/2/2024,expected_v1_goods_services,Yes,6.6,.17
49,5/20/2024 - 6/2/2024,expected_v1_goods_services,No,71.9,.27
49,5/20/2024 - 6/2/2024,expected_v1_goods_services,Do not know,21.5,.24
50,6/3/2024 - 6/16/2024,current_v1_goods_services,Do not know,8.1,.22
50,6/3/2024 - 6/16/2024,current_v1_goods_services,No,86.9,.26
50,6/3/2024 - 6/16/2024,current_v1_goods_services,Yes,5,.14
50,6/3/2024 - 6/16/2024,expected_v1_goods_services,Yes,6.8,.17
50,6/3/2024 - 6/16/2024,expected_v1_goods_services,Do not know,21.6,.25
50,6/3/2024 - 6/16/2024,expected_v1_goods_services,No,71.6,.19
51,6/17/2024 - 6/30/2024,current_v1_goods_services,Yes,4.7,.13
51,6/17/2024 - 6/30/2024,current_v1_goods_services,Do not know,8.5,.19
51,6/17/2024 - 6/30/2024,current_v1_goods_services,No,86.8,.28
51,6/17/2024 - 6/30/2024,expected_v1_goods_services,Yes,6.9,.08
51,6/17/2024 - 6/30/2024,expected_v1_goods_services,No,71.2,.26
51,6/17/2024 - 6/30/2024,expected_v1_goods_services,Do not know,22,.28
52,7/1/2024 - 7/14/2024,current_v1_goods_services,Do not know,8.3,.11
52,7/1/2024 - 7/14/2024,current_v1_goods_services,No,86.8,.24
52,7/1/2024 - 7/14/2024,current_v1_goods_services,Yes,5,.16
52,7/1/2024 - 7/14/2024,expected_v1_goods_services,Do not know,22.1,.18
52,7/1/2024 - 7/14/2024,expected_v1_goods_services,No,70.9,.25
52,7/1/2024 - 7/14/2024,expected_v1_goods_services,Yes,6.9,.18
53,7/15/2024 - 7/28/2024,current_v1_goods_services,Do not know,8.5,.16
53,7/15/2024 - 7/28/2024,current_v1_goods_services,Yes,5.1,.18
53,7/15/2024 - 7/28/2024,current_v1_goods_services,No,86.4,.23
53,7/15/2024 - 7/28/2024,expected_v1_goods_services,Yes,7.2,.23
53,7/15/2024 - 7/28/2024,expected_v1_goods_services,No,70.6,.34
53,7/15/2024 - 7/28/2024,expected_v1_goods_services,Do not know,22.2,.27
54,7/29/2024 - 8/11/2024,current_v1_goods_services,Do not know,8.5,.2
54,7/29/2024 - 8/11/2024,current_v1_goods_services,Yes,5.1,.12
54,7/29/2024 - 8/11/2024,current_v1_goods_services,No,86.4,.24
54,7/29/2024 - 8/11/2024,expected_v1_goods_services,Yes,7,.17
54,7/29/2024 - 8/11/2024,expected_v1_goods_services,No,70.6,.37
54,7/29/2024 - 8/11/2024,expected_v1_goods_services,Do not know,22.4,.44
55,8/12/2024 - 8/25/2024,current_v1_goods_services,Do not know,5.9,.18
55,8/12/2024 - 8/25/2024,current_v1_goods_services,No,88.6,.26
55,8/12/2024 - 8/25/2024,current_v1_goods_services,Yes,5.5,.15
55,8/12/2024 - 8/25/2024,expected_v1_goods_services,Yes,8.1,.15
55,8/12/2024 - 8/25/2024,expected_v1_goods_services,Do not know,21.4,.29
55,8/12/2024 - 8/25/2024,expected_v1_goods_services,No,70.6,.39
56,8/26/2024 - 9/8/2024,current_v1_goods_services,Do not know,5.7,.16
56,8/26/2024 - 9/8/2024,current_v1_goods_services,Yes,5.7,.15
56,8/26/2024 - 9/8/2024,current_v1_goods_services,No,88.6,.21
56,8/26/2024 - 9/8/2024,expected_v1_goods_services,Yes,8.5,.17
56,8/26/2024 - 9/8/2024,expected_v1_goods_services,Do not know,21.4,.23
56,8/26/2024 - 9/8/2024,expected_v1_goods_services,No,70.1,.29
57,9/9/2024 - 9/22/2024,current_v1_goods_services,Do not know,5.8,.16
57,9/9/2024 - 9/22/2024,current_v1_goods_services,Yes,5.9,.16
57,9/9/2024 - 9/22/2024,current_v1_goods_services,No,88.4,.22
57,9/9/2024 - 9/22/2024,expected_v1_goods_services,Do not know,21.7,.23
57,9/9/2024 - 9/22/2024,expected_v1_goods_services,Yes,8.7,.15
57,9/9/2024 - 9/22/2024,expected_v1_goods_services,No,69.6,.3
58,9/23/2024 - 10/6/2024,current_v1_goods_services,Yes,6,.15
58,9/23/2024 - 10/6/2024,current_v1_goods_services,Do not know,5.7,.11
58,9/23/2024 - 10/6/2024,current_v1_goods_services,No,88.3,.19
58,9/23/2024 - 10/6/2024,expected_v1_goods_services,Do not know,21.5,.24
58,9/23/2024 - 10/6/2024,expected_v1_goods_services,No,69.4,.29
58,9/23/2024 - 10/6/2024,expected_v1_goods_services,Yes,9.1,.18
59,10/7/2024 - 10/20/2024,current_v1_goods_services,Yes,6,.15
59,10/7/2024 - 10/20/2024,current_v1_goods_services,Do not know,5.9,.15
59,10/7/2024 - 10/20/2024,current_v1_goods_services,No,88.1,.17
59,10/7/2024 - 10/20/2024,expected_v1_goods_services,Yes,9,.18
59,10/7/2024 - 10/20/2024,expected_v1_goods_services,Do not know,22.1,.3
59,10/7/2024 - 10/20/2024,expected_v1_goods_services,No,68.9,.29
60,10/21/2024 - 11/3/2024,current_v1_goods_services,No,88.1,.13
60,10/21/2024 - 11/3/2024,current_v1_goods_services,Do not know,5.8,.11
60,10/21/2024 - 11/3/2024,current_v1_goods_services,Yes,6,.13
60,10/21/2024 - 11/3/2024,expected_v1_goods_services,Yes,9.3,.19
60,10/21/2024 - 11/3/2024,expected_v1_goods_services,Do not know,21.7,.18
60,10/21/2024 - 11/3/2024,expected_v1_goods_services,No,69,.15
61,11/4/2024 - 11/17/2024,current_v1_goods_services,Do not know,6.5,.12
61,11/4/2024 - 11/17/2024,current_v1_goods_services,No,87.4,.25
61,11/4/2024 - 11/17/2024,current_v1_goods_services,Yes,6.1,.18
61,11/4/2024 - 11/17/2024,expected_v1_goods_services,No,69.2,.38
61,11/4/2024 - 11/17/2024,expected_v1_goods_services,Yes,8.7,.21
61,11/4/2024 - 11/17/2024,expected_v1_goods_services,Do not know,22.1,.37
62,11/18/2024 - 12/1/2024,current_v1_goods_services,No,87.8,.28
62,11/18/2024 - 12/1/2024,current_v1_goods_services,Yes,6.1,.16
62,11/18/2024 - 12/1/2024,current_v1_goods_services,Do not know,6.1,.14
62,11/18/2024 - 12/1/2024,expected_v1_goods_services,Yes,8.9,.17
62,11/18/2024 - 12/1/2024,expected_v1_goods_services,No,69,.28
62,11/18/2024 - 12/1/2024,expected_v1_goods_services,Do not know,22.1,.27
63,12/2/2024 - 12/15/2024,current_v1_goods_services,Do not know,6.2,.19
63,12/2/2024 - 12/15/2024,current_v1_goods_services,Yes,6.1,.17
63,12/2/2024 - 12/15/2024,current_v1_goods_services,No,87.7,.23
63,12/2/2024 - 12/15/2024,expected_v1_goods_services,Yes,8.8,.13
63,12/2/2024 - 12/15/2024,expected_v1_goods_services,Do not know,22.9,.23
63,12/2/2024 - 12/15/2024,expected_v1_goods_services,No,68.3,.22
64,12/16/2024 - 12/29/2024,current_v1_goods_services,No,87.4,.24
64,12/16/2024 - 12/29/2024,current_v1_goods_services,Do not know,6.3,.17
64,12/16/2024 - 12/29/2024,current_v1_goods_services,Yes,6.3,.15
64,12/16/2024 - 12/29/2024,expected_v1_goods_services,Yes,9.2,.12
64,12/16/2024 - 12/29/2024,expected_v1_goods_services,Do not know,22.2,.31
64,12/16/2024 - 12/29/2024,expected_v1_goods_services,No,68.6,.35
65,12/30/2024 - 1/12/2025,current_v1_goods_services,Do not know,6.4,.1
65,12/30/2024 - 1/12/2025,current_v1_goods_services,Yes,6,.19
65,12/30/2024 - 1/12/2025,current_v1_goods_services,No,87.6,.23
65,12/30/2024 - 1/12/2025,expected_v1_goods_services,Yes,9.5,.21
65,12/30/2024 - 1/12/2025,expected_v1_goods_services,No,68.1,.22
65,12/30/2024 - 1/12/2025,expected_v1_goods_services,Do not know,22.5,.19
66,1/13/2025 - 1/26/2025,current_v1_goods_services,Do not know,6.3,.13
66,1/13/2025 - 1/26/2025,current_v1_goods_services,Yes,6.7,.18
66,1/13/2025 - 1/26/2025,current_v1_goods_services,No,87.1,.18
66,1/13/2025 - 1/26/2025,expected_v1_goods_services,Do not know,23.1,.18
66,1/13/2025 - 1/26/2025,expected_v1_goods_services,No,67.5,.31
66,1/13/2025 - 1/26/2025,expected_v1_goods_services,Yes,9.4,.25
67,1/27/2025 - 2/9/2025,current_v1_goods_services,Do not know,7.2,.19
67,1/27/2025 - 2/9/2025,current_v1_goods_services,Yes,6.8,.19
67,1/27/2025 - 2/9/2025,current_v1_goods_services,No,86,.3
67,1/27/2025 - 2/9/2025,expected_v1_goods_services,Do not know,23.7,.34
67,1/27/2025 - 2/9/2025,expected_v1_goods_services,No,67,.32
67,1/27/2025 - 2/9/2025,expected_v1_goods_services,Yes,9.3,.21
68,2/10/2025 - 2/23/2025,current_v1_goods_services,Yes,7.3,.14
68,2/10/2025 - 2/23/2025,current_v1_goods_services,Do not know,6.7,.12
68,2/10/2025 - 2/23/2025,current_v1_goods_services,No,86,.2
68,2/10/2025 - 2/23/2025,expected_v1_goods_services,No,67.2,.27
68,2/10/2025 - 2/23/2025,expected_v1_goods_services,Yes,9.8,.17
68,2/10/2025 - 2/23/2025,expected_v1_goods_services,Do not know,23,.22
69,2/24/2025 - 3/9/2025,current_v1_goods_services,Do not know,6.8,.15
69,2/24/2025 - 3/9/2025,current_v1_goods_services,Yes,7.4,.18
69,2/24/2025 - 3/9/2025,current_v1_goods_services,No,85.7,.19
69,2/24/2025 - 3/9/2025,expected_v1_goods_services,Yes,9.9,.19
69,2/24/2025 - 3/9/2025,expected_v1_goods_services,No,66.7,.36
69,2/24/2025 - 3/9/2025,expected_v1_goods_services,Do not know,23.3,.28
70,3/10/2025 - 3/23/2025,current_v1_goods_services,Do not know,6.7,.1
70,3/10/2025 - 3/23/2025,current_v1_goods_services,Yes,7.8,.22
70,3/10/2025 - 3/23/2025,current_v1_goods_services,No,85.5,.28
70,3/10/2025 - 3/23/2025,expected_v1_goods_services,Yes,10.5,.13
70,3/10/2025 - 3/23/2025,expected_v1_goods_services,No,66.6,.31
70,3/10/2025 - 3/23/2025,expected_v1_goods_services,Do not know,23,.3
71,3/24/2025 - 4/6/2025,current_v1_goods_services,No,84.8,.22
71,3/24/2025 - 4/6/2025,current_v1_goods_services,Yes,8,.12
71,3/24/2025 - 4/6/2025,current_v1_goods_services,Do not know,7.3,.18
71,3/24/2025 - 4/6/2025,expected_v1_goods_services,No,65.8,.16
71,3/24/2025 - 4/6/2025,expected_v1_goods_services,Yes,10.5,.18
71,3/24/2025 - 4/6/2025,expected_v1_goods_services,Do not know,23.7,.23
72,4/7/2025 - 4/20/2025,current_v1_goods_services,Yes,8.3,.19
72,4/7/2025 - 4/20/2025,current_v1_goods_services,No,84.9,.33
72,4/7/2025 - 4/20/2025,current_v1_goods_services,Do not know,6.8,.19
72,4/7/2025 - 4/20/2025,expected_v1_goods_services,Yes,10.9,.3
72,4/7/2025 - 4/20/2025,expected_v1_goods_services,No,66.2,.52
72,4/7/2025 - 4/20/2025,expected_v1_goods_services,Do not know,22.9,.35
73,4/21/2025 - 5/4/2025,current_v1_goods_services,Yes,8.7,.16
73,4/21/2025 - 5/4/2025,current_v1_goods_services,Do not know,7.3,.13
73,4/21/2025 - 5/4/2025,current_v1_goods_services,No,84,.22
73,4/21/2025 - 5/4/2025,expected_v1_goods_services,No,65.4,.26
73,4/21/2025 - 5/4/2025,expected_v1_goods_services,Yes,11,.24
73,4/21/2025 - 5/4/2025,expected_v1_goods_services,Do not know,23.6,.25
74,5/5/2025 - 5/18/2025,current_v1_goods_services,Do not know,7.2,.19
74,5/5/2025 - 5/18/2025,current_v1_goods_services,No,84.2,.23
74,5/5/2025 - 5/18/2025,current_v1_goods_services,Yes,8.7,.14
74,5/5/2025 - 5/18/2025,expected_v1_goods_services,Yes,11,.23
74,5/5/2025 - 5/18/2025,expected_v1_goods_services,Do not know,23.8,.37
74,5/5/2025 - 5/18/2025,expected_v1_goods_services,No,65.2,.28
75,5/19/2025 - 6/1/2025,current_v1_goods_services,Do not know,7.4,.1
75,5/19/2025 - 6/1/2025,current_v1_goods_services,No,83.4,.23
75,5/19/2025 - 6/1/2025,current_v1_goods_services,Yes,9.2,.19
75,5/19/2025 - 6/1/2025,expected_v1_goods_services,Do not know,24,.23
75,5/19/2025 - 6/1/2025,expected_v1_goods_services,No,64.4,.24
75,5/19/2025 - 6/1/2025,expected_v1_goods_services,Yes,11.6,.16
76,6/2/2025 - 6/15/2025,current_v1_goods_services,Do not know,7.1,.22
76,6/2/2025 - 6/15/2025,current_v1_goods_services,No,83.7,.3
76,6/2/2025 - 6/15/2025,current_v1_goods_services,Yes,9.2,.22
76,6/2/2025 - 6/15/2025,expected_v1_goods_services,Yes,11.6,.27
76,6/2/2025 - 6/15/2025,expected_v1_goods_services,Do not know,23.7,.37
76,6/2/2025 - 6/15/2025,expected_v1_goods_services,No,64.7,.29
77,6/16/2025 - 6/29/2025,current_v1_goods_services,Do not know,7.8,.23
77,6/16/2025 - 6/29/2025,current_v1_goods_services,No,82.9,.31
77,6/16/2025 - 6/29/2025,current_v1_goods_services,Yes,9.3,.15
77,6/16/2025 - 6/29/2025,expected_v1_goods_services,No,64.2,.34
77,6/16/2025 - 6/29/2025,expected_v1_goods_services,Do not know,24.2,.36
77,6/16/2025 - 6/29/2025,expected_v1_goods_services,Yes,11.7,.11
78,6/30/2025 - 7/13/2025,current_v1_goods_services,Yes,9.3,.21
78,6/30/2025 - 7/13/2025,current_v1_goods_services,No,83.1,.25
78,6/30/2025 - 7/13/2025,current_v1_goods_services,Do not know,7.5,.25
78,6/30/2025 - 7/13/2025,expected_v1_goods_services,Yes,12.3,.2
78,6/30/2025 - 7/13/2025,expected_v1_goods_services,No,63.6,.47
78,6/30/2025 - 7/13/2025,expected_v1_goods_services,Do not know,24.1,.42
79,7/14/2025 - 7/27/2025,current_v1_goods_services,Do not know,6.8,.17
79,7/14/2025 - 7/27/2025,current_v1_goods_services,Yes,9.4,.15
79,7/14/2025 - 7/27/2025,current_v1_goods_services,No,83.9,.11
79,7/14/2025 - 7/27/2025,expected_v1_goods_services,Yes,13.5,.27
79,7/14/2025 - 7/27/2025,expected_v1_goods_services,No,63.4,.35
79,7/14/2025 - 7/27/2025,expected_v1_goods_services,Do not know,23.1,.4
80,7/28/2025 - 8/10/2025,current_v1_goods_services,Do not know,7,.09
80,7/28/2025 - 8/10/2025,current_v1_goods_services,No,84.2,.21
80,7/28/2025 - 8/10/2025,current_v1_goods_services,Yes,8.8,.23
80,7/28/2025 - 8/10/2025,expected_v1_goods_services,Yes,13,.22
80,7/28/2025 - 8/10/2025,expected_v1_goods_services,No,63.3,.35
80,7/28/2025 - 8/10/2025,expected_v1_goods_services,Do not know,23.7,.23
81,8/11/2025 - 8/24/2025,current_v1_goods_services,Do not know,6.5,.12
81,8/11/2025 - 8/24/2025,current_v1_goods_services,Yes,9.7,.16
81,8/11/2025 - 8/24/2025,current_v1_goods_services,No,83.8,.17
81,8/11/2025 - 8/24/2025,expected_v1_goods_services,Do not know,23.3,.28
81,8/11/2025 - 8/24/2025,expected_v1_goods_services,Yes,13.7,.16
81,8/11/2025 - 8/24/2025,expected_v1_goods_services,No,62.9,.37
82,8/25/2025 - 9/7/2025,current_v1_goods_services,Yes,9.1,.15
82,8/25/2025 - 9/7/2025,current_v1_goods_services,No,83.5,.23
82,8/25/2025 - 9/7/2025,current_v1_goods_services,Do not know,7.4,.15
82,8/25/2025 - 9/7/2025,expected_v1_goods_services,No,62.6,.29
82,8/25/2025 - 9/7/2025,expected_v1_goods_services,Yes,13.8,.21
82,8/25/2025 - 9/7/2025,expected_v1_goods_services,Do not know,23.6,.26
83,9/8/2025 - 9/21/2025,current_v1_goods_services,Yes,9.9,.15
83,9/8/2025 - 9/21/2025,current_v1_goods_services,No,82.9,.17
83,9/8/2025 - 9/21/2025,current_v1_goods_services,Do not know,7.2,.13
83,9/8/2025 - 9/21/2025,expected_v1_goods_services,Yes,14,.21
83,9/8/2025 - 9/21/2025,expected_v1_goods_services,No,62.6,.2
83,9/8/2025 - 9/21/2025,expected_v1_goods_services,Do not know,23.4,.27
84,9/22/2025 - 10/5/2025,current_v1_goods_services,Yes,10,.22
84,9/22/2025 - 10/5/2025,current_v1_goods_services,No,82.8,.18
84,9/22/2025 - 10/5/2025,current_v1_goods_services,Do not know,7.2,.11
84,9/22/2025 - 10/5/2025,expected_v1_goods_services,Yes,14,.28
84,9/22/2025 - 10/5/2025,expected_v1_goods_services,No,62.6,.28
84,9/22/2025 - 10/5/2025,expected_v1_goods_services,Do not know,23.4,.38
88,11/17/2025 - 11/30/2025,current_v2_any_function,Yes,17.3,.18
88,11/17/2025 - 11/30/2025,current_v2_any_function,No,71.6,.2
88,11/17/2025 - 11/30/2025,current_v2_any_function,Do not know,11.1,.22
88,11/17/2025 - 11/30/2025,expected_v2_any_function,Yes,21.1,.26
88,11/17/2025 - 11/30/2025,expected_v2_any_function,No,56.8,.22
88,11/17/2025 - 11/30/2025,expected_v2_any_function,Do not know,22.2,.35
89,12/1/2025 - 12/14/2025,current_v2_any_function,Do not know,10.8,.19
89,12/1/2025 - 12/14/2025,current_v2_any_function,No,72,.26
89,12/1/2025 - 12/14/2025,current_v2_any_function,Yes,17.2,.23
89,12/1/2025 - 12/14/2025,expected_v2_any_function,Do not know,21.9,.29
89,12/1/2025 - 12/14/2025,expected_v2_any_function,No,57.2,.47
89,12/1/2025 - 12/14/2025,expected_v2_any_function,Yes,20.9,.36
90,12/15/2025 - 12/28/2025,current_v2_any_function,Yes,17.8,.47
90,12/15/2025 - 12/28/2025,current_v2_any_function,No,71.8,.5
90,12/15/2025 - 12/28/2025,current_v2_any_function,Do not know,10.4,.19
90,12/15/2025 - 12/28/2025,expected_v2_any_function,Yes,21.3,.32
90,12/15/2025 - 12/28/2025,expected_v2_any_function,No,56.7,.56
90,12/15/2025 - 12/28/2025,expected_v2_any_function,Do not know,22,.4
91,12/29/2025 - 1/11/2026,current_v2_any_function,Yes,17.7,.3
91,12/29/2025 - 1/11/2026,current_v2_any_function,No,71.1,.38
91,12/29/2025 - 1/11/2026,current_v2_any_function,Do not know,11.2,.25
91,12/29/2025 - 1/11/2026,expected_v2_any_function,Yes,22.4,.34
91,12/29/2025 - 1/11/2026,expected_v2_any_function,No,54.9,.47
91,12/29/2025 - 1/11/2026,expected_v2_any_function,Do not know,22.6,.39
92,1/12/2026 - 1/25/2026,current_v2_any_function,Yes,18.2,.24
92,1/12/2026 - 1/25/2026,current_v2_any_function,No,71.4,.41
92,1/12/2026 - 1/25/2026,current_v2_any_function,Do not know,10.4,.31
92,1/12/2026 - 1/25/2026,expected_v2_any_function,Yes,22.1,.22
92,1/12/2026 - 1/25/2026,expected_v2_any_function,No,55.6,.22
92,1/12/2026 - 1/25/2026,expected_v2_any_function,Do not know,22.3,.29
93,1/26/2026 - 2/8/2026,current_v2_any_function,Yes,18.9,.39
93,1/26/2026 - 2/8/2026,current_v2_any_function,No,70.1,.49
93,1/26/2026 - 2/8/2026,current_v2_any_function,Do not know,11,.23
93,1/26/2026 - 2/8/2026,expected_v2_any_function,Yes,22.1,.36
93,1/26/2026 - 2/8/2026,expected_v2_any_function,No,55.9,.42
